,id,min_price_domain
0,71,311688
1,77,9449731
2,123,1921247
3,143,836723
4,206,448052
5,245,810758
6,262,606061
7,331,1041914
8,343,388500
9,416,671502
10,417,120067
11,446,1243155
12,447,664935
13,462,760952
14,662,701299
15,695,1060925
16,707,735411
17,765,301437
18,769,783333
19,953,394805
20,959,640000
21,1087,593208
22,1106,1218180
23,1262,879351
24,1400,290151
25,1525,-1
26,1551,183983
27,1784,288609
28,1878,4060800
29,1926,225108
30,1954,352500
31,1988,270455
32,2041,810758
33,2114,550000
34,2144,107545
35,2269,384186
36,2350,519481
37,2376,502165
38,2431,-1
39,2451,450000
40,2461,-1
41,2636,227273
42,2649,318805
43,2665,233766
44,2677,380000
45,2691,464069
46,2772,259740
47,2852,800000
48,2918,205624
49,2929,112554
50,2942,219999
51,2984,444736
52,3026,-1
53,3062,398268
54,3106,237500
55,3160,415000
56,3191,-1
57,3192,-1
58,3266,324000
59,3295,190476
60,3315,339351
61,3317,1126111
62,3361,332035
63,3368,315121
64,3452,432900
65,3477,810758
66,3544,250000
67,3565,200000
68,3578,342857
69,3604,-1
70,3617,261642
71,3966,1300000
72,4217,270000
73,4273,354978
74,4282,251428
75,4352,290537
76,4452,207792
77,4455,204000
78,4501,78750
79,4516,199134
80,4539,225108
81,4567,200000
82,4578,250200
83,4711,200000
84,4718,329696
85,4750,93506
86,4825,411764
87,4966,300220
88,5077,-1
89,5268,-1
90,5873,467533
91,5909,314900
92,5937,138528
93,6155,81818
94,6265,288227
95,6391,-1
96,6410,311688
97,6949,242424
98,6986,259740
99,7045,209764
100,7046,500000
101,7064,261642
102,7131,256956
103,7589,154978
104,7919,433000
105,8721,-1
106,8722,251304
107,8725,345238
108,8728,146677
109,8729,175000
110,8734,136364
111,8735,124675
112,8737,175000
113,8739,175000
114,8918,242424
115,8919,320000
116,9703,1429465
117,9810,1142857
118,9869,78750
119,9893,80000
120,21653,154978
121,21662,129437
122,21673,229437
123,22166,283506
124,22199,389610
125,22343,259740
126,22380,65217
127,22536,162000
128,22732,349259
129,22741,509210
130,22774,261642
131,23047,-1
132,23228,261642
133,23341,420779
134,23411,874181
135,23418,81818
136,23518,375000
137,23699,290151
138,29475,441559
139,29483,389610
140,29514,314610
141,29672,-1
142,29676,-1
143,41168,242424
144,41169,366955
145,41171,1272727
146,41172,294372
147,41175,62338
148,41176,241039
149,41177,90000
150,41178,-1
151,41180,129437
152,41181,389610
153,41182,218182
154,41183,345455
155,41184,381818
156,41186,233766
157,41187,597403
158,41189,288000
159,41190,140260
160,41191,68457
161,41192,253920
162,41193,364675
163,41194,121258
164,41195,567123
165,41197,209091
166,41198,504000
167,41200,2000000
168,41201,90000
169,41202,93506
170,41204,166500
171,41206,86364
172,41207,70130
173,41209,121212
174,41211,116883
175,41212,191304
176,41213,-1
177,41215,93506
178,41217,347727
179,41218,86580
180,41220,339351
181,41223,118182
182,41224,99000
183,41225,63636
184,41226,93506
185,41228,99000
186,41229,210390
187,41230,189655
188,41231,314610
189,41232,345455
190,41234,146677
191,41235,115000
192,41236,64935
193,41237,279220
194,41238,190476
195,41239,-1
196,41240,275689
197,41241,342857
198,41243,288000
199,41245,283636
200,41247,278261
201,41248,200000
202,41249,279654
203,41250,73593
204,41254,238000
205,41255,199134
206,41258,100000
207,41261,-1
208,41269,360000
209,41275,223200
210,41279,115000
211,41280,323357
212,41282,200000
213,41284,140909
214,41288,-1
215,41289,721501
216,41295,-1
217,41298,150000
218,41300,163636
219,41303,314900
220,41304,721501
221,41306,124675
222,41309,-1
223,41312,347727
224,41314,705846
225,41317,692641
226,41318,4661949
227,41319,927840
228,41325,-1
229,41329,420000
230,41330,480000
231,41334,90909
232,41335,81818
233,41337,233766
234,41341,288000
235,41342,218182
236,41345,117000
237,41348,200000
238,41349,115000
239,44241,89610
240,44965,184291
241,45547,415800
242,45571,836723
243,45589,1272727
244,45757,76500
245,45759,70130
246,45970,229183
247,45972,77922
248,45991,311688
249,46035,350000
250,46049,252000
251,46089,315584
252,46102,1132381
253,46209,504000
254,46551,194805
255,46572,3160173
256,46736,342857
257,46771,229870
258,46779,200000
259,46791,93600
260,46813,70130
261,46814,258000
262,46882,448596
263,47176,296104
264,47187,124057
265,47201,200455
266,47288,300000
267,47505,101818
268,8,656000
269,10,637500
270,39,350000
271,102,1029551
272,130,354978
273,173,975000
274,201,471000
275,280,688500
276,286,761905
277,298,311688
278,332,623700
279,372,649351
280,393,666667
281,415,667522
282,430,1609091
283,436,2770563
284,477,900000
285,482,692641
286,506,380000
287,538,699134
288,552,690000
289,554,1122617
290,619,305577
291,642,1029551
292,680,777219
293,692,545455
294,747,1275358
295,842,950000
296,848,546667
297,868,1980693
298,869,648624
299,910,389610
300,963,225108
301,1002,1038961
302,1035,770000
303,1073,649351
304,1091,1795000
305,1092,202598
306,1304,667522
307,1323,519481
308,1357,1676443
309,1431,1081306
310,1435,939419
311,1488,995671
312,1489,735195
313,1516,500000
314,1584,600000
315,1600,498701
316,1721,840000
317,1777,1037381
318,1782,584416
319,1900,504729
320,1984,1380022
321,2049,784333
322,2085,756000
323,2092,1512987
324,2096,720000
325,2126,1453813
326,2353,254545
327,2384,355000
328,2481,350000
329,2510,458874
330,2533,2113692
331,2571,314617
332,2689,1309091
333,2712,682062
334,2820,745000
335,2965,623377
336,3002,335000
337,3007,330000
338,3074,233766
339,3095,331168
340,3199,303030
341,3217,346320
342,3277,315000
343,3399,2831494
344,3486,562771
345,3542,497835
346,3595,372294
347,3665,259740
348,3724,952381
349,3746,311688
350,3887,329004
351,3943,346320
352,4031,320000
353,4039,305629
354,4044,600000
355,4076,-1
356,4189,731417
357,4201,251082
358,4202,239492
359,4231,329004
360,4268,321342
361,4271,400000
362,4298,303030
363,4366,289681
364,4448,259740
365,4451,1035000
366,4621,900000
367,4660,432900
368,4667,420000
369,4760,335000
370,4807,241558
371,4859,450000
372,4954,321342
373,5014,-1
374,5799,525455
375,5868,450000
376,5901,688500
377,6119,995671
378,6126,546667
379,6147,381818
380,6200,360000
381,6296,432900
382,6357,259740
383,6689,692641
384,6816,975000
385,6817,1029551
386,7083,1035000
